VI,EN
"Chúng tôi đã đến nhà hát sớm, vì vậy chúng tôi có thể chắc chắn rằng mọi người có thể có được một chỗ ngồi.","we went to the theater early , so we could be sure that everyone could get a seat ."
Tôi cho rằng Tom đã nói với bạn rằng anh ấy dự định đến lúc mấy giờ.,i suppose tom told you what time he plans to arrive .
Cô ấy nói với tôi rằng tôi có thể ngủ trên ghế sofa.,she told me that i could sleep on the sofa .
Nói chuyện với cây của bạn không giúp chúng phát triển nhanh hơn.,talking to your plants does not help them grow faster .
Anh ấy giải thích kế hoạch của mình cho cả con trai tôi và tôi.,he explained his plan both to my son and to me .
Bạn có biết tại sao Tom không tham dự cuộc họp vào chiều nay?,do you know why tom did not attend the meeting this afternoon ?
Tôi nghĩ rằng chúng ta sẽ ở lại cho một ngày khác.,i think we are going to stay for another day .
Tôi ước tôi có thể dành nhiều thời gian hơn với cha tôi trước khi ông qua đời.,i wish i could have spent more time with my father before he died .
Tôi cảm thấy nhẹ nhõm khi tất cả những rắc rối được quan tâm.,i felt relieved when all the troubles were taken care of .
"Nếu bạn sẽ nghi ngờ tất cả mọi thứ, ít nhất là nghi ngờ nghi ngờ của bạn.","if you are going to doubt everything , at least doubt your doubt ."
Tôi không muốn bạn nhảy với Tom nữa.,i do not want you to dance with tom anymore .
Cả Tom và Mary đều không biết làm thế nào để gửi fax.,both tom and mary did not know how to send a fax .
"Nếu bạn đã không làm điều đó, người khác sẽ có.","if you had not done it , someone else would have ."
Anh ta đặt cho cảnh sát một tên và địa chỉ sai.,he gave the police a false name and address .
"Nếu bạn không có gì tốt để nói, đừng nói gì cả.","if you do not have anything nice to say , do not say anything at all ."
Nó không bao giờ xảy ra với tôi rằng tôi có thể bị sa thải.,it never occurred to me that i might be fired .
Tôi muốn biết những gì tôi có thể làm ngay bây giờ.,i want to know what i can do right now .
Cô ấy đã gặp rắc rối với đau lưng trong nhiều năm.,she is been having trouble with back pain for years .
Tôi chỉ ăn thịt khoảng ba hoặc bốn lần một tháng.,i only eat meat about three or four times a month .
"Tôi không biết nó là gì, nhưng nó là một cái gì đó rất lớn.","i do not know what it is , but it is something very big ."
"Sau một thời gian, vảy ngô trong sữa sẽ trở nên sũng nước.","after a while , corn flakes in milk will become soggy ."
Tôi thích bơi trong hồ và sông hơn là bơi trong đại dương.,i like swimming in lakes and rivers more than swimming in the ocean .
Chúng tôi không có lựa chọn nào khác ngoài việc từ bỏ toàn bộ kế hoạch.,we have no choice but to give up the whole plan .
"Tôi chắc chắn rằng tôi đã gặp người đàn ông đó ở đâu đó, nhưng tôi không nhớ anh ta là ai.","i am sure i have met that man somewhere , but i do not remember who he is ."
"Nếu bạn không làm nhiệm vụ của mình, mọi người sẽ coi thường bạn.","if you do not do your duty , people will look down on you ."
Bạn sẽ mua một cái nếu nó rẻ hơn một chút?,would you buy one if it were a little cheaper ?
Tôi đã bỏ qua cuộc hẹn với sếp của tôi.,i skipped out on my appointment with my boss .
Bạn nghĩ cuộc họp sẽ kéo dài bao lâu?,how long do you think the meeting will last ?
"Nếu bạn muốn học sự thật, hãy ngồi xuống và lắng nghe.","if you want to learn the truth , sit down and listen ."
Bạn thậm chí sẽ không nhớ tôi một vài năm kể từ bây giờ.,you will not even remember me a few years from now .
Tôi đã nói với bạn rằng đừng nói về vấn đề này trong sự hiện diện của cô ấy.,i told you not to talk about the matter in her presence .
bạn giận tôi à ? bạn đặt cược tôi !,are you angry at me ? you bet i am !
Những gì anh ấy nói ngày hôm qua không phù hợp với những gì anh ấy đã nói tuần trước.,what he said yesterday is not consistent with what he had said last week .
"Tôi đã cố nói với Tom, nhưng anh ấy từ chối lắng nghe.","i tried to tell tom , but he refused to listen ."
Cô không thể giữ cho con gái mình không đi ra ngoài.,she could not keep her daughter from going out .
Tôi không muốn bạn tiêu tiền cho tôi.,i do not want you to spend money on me .
Tôi muốn cho bạn thấy những gì Tom đã cho tôi.,i want to show you what tom gave me .
Tôi nghĩ rằng tất cả chúng ta nên đến nhà Tom s.,i think we should all go to tom s house .
"Tôi chưa bao giờ nói với ai rằng trước đây, ngay cả mẹ tôi.","i have never told anyone that before , not even my mother ."
"Ngay khi tôi có đủ khả năng, tôi dự định đi du lịch vòng quanh thế giới.","as soon as i can afford it , i plan to travel around the world ."
"Trong hai năm, công ty có quy mô gấp đôi.","in two years , the company has more than doubled in size ."
Tôi dự định cho con trai tôi một máy tính vào cuối tháng.,i plan to give my son a computer at the end of the month .
Anh ta đã nhận được một khoản tiền lớn để bồi thường cho chấn thương của mình.,he received a large sum of money in compensation for his injury .
Có rất nhiều nhà hàng tốt ở Boston.,there are a lot of good restaurants in boston .
Tôi cũng như anh trai tôi đang đổ lỗi.,i as well as my brother am to blame .
Dân chủ là một ý tưởng quay trở lại với người Hy Lạp cổ đại.,democracy is an idea that goes back to the ancient greeks .
"Vì tôi bị ốm trong một tuần, tôi đang thực hiện mọi nỗ lực có thể để bắt kịp.","since i was sick for a week , i am making every possible effort to catch up ."
"Vì các triệu chứng của bạn, bạn phải tạm thời bị cô lập về mặt y tế.","because of your symptoms , you must be temporarily medically isolated ."
Tôi cảm thấy chóng mặt và tôi cảm thấy muốn ném lên.,i feel sort of dizzy and i feel like throwing up .
Quan điểm độc đáo của ông đã giúp làm sáng tỏ tình hình.,his unique perspective helped shed light on the situation .
Anh ấy đã làm một bản vẽ sơ bộ để chỉ cho tôi đường đến nhà ga.,he did a rough drawing to show me the way to the station .
Một chút đi bộ sẽ cho bạn một sự thèm ăn tốt cho bữa sáng.,a little walk will give you a good appetite for breakfast .
"Khi tàu kéo ra, họ vẫy tay chào cha mẹ.","as the train pulled out , they waved goodbye to their parents ."
Tôi biết làm thế nào chúng ta có thể kiếm được nhiều tiền.,i know how we can make a lot of money .
Bạn có thể điều chỉnh màu trên TV bằng cách xoay núm này.,you can adjust the color on the tv by turning this knob .
Đó là một thời gian dài kể từ khi tôi có một bất ngờ thú vị như vậy.,it is been a long time since i had such a pleasant surprise .
Đừng vào phòng cho đến khi tôi nói tất cả đều ổn.,do not enter the room until i say all right .
"Thức dậy ở a.m.lúc đầu là khó khăn, nhưng bây giờ tôi đã quen với nó.","getting up at a . m . was hard at first , but now i am used to it ."
Ăn một tép tỏi mỗi ngày có lợi cho sức khỏe của bạn?,is eating a clove of garlic every day beneficial to your health ?
Chúng tôi đã hát trong một dàn hợp xướng khi chúng tôi còn nhỏ.,we sang in a choir when we were kids .
Tom Bet Mary rằng anh ta có thể đánh bại cô tại Arm Wrestling.,tom bet mary that he could beat her at arm wrestling .
Tình trạng bất ổn xã hội có thể xảy ra do suy thoái kinh tế dài này.,social unrest may come about as a result of this long recession .
Chính sách này chắc chắn sẽ đi một chặng đường dài hướng tới việc kích thích kinh doanh.,this policy is sure to go a long way towards stimulating business .
Tôi đã tìm kiếm ai đó để trông trẻ con của tôi.,i have been looking for someone to babysit my children .
Tôi muốn giúp bạn có được những gì bạn cần.,i would like to help you get what you need .
Giá gấp đôi so với mười năm trước.,prices are double what they were ten years ago .
Tom nói rằng anh ta đang lên kế hoạch mua Mary một món quà.,tom says he is planning to buy mary a gift .
Tom hỏi Mary nếu cô ấy muốn một tách cà phê.,tom asked mary if she would like a cup of coffee .
Tom được yêu cầu trở thành người đàn ông tốt nhất trong đám cưới của anh trai Mary.,tom was asked to be best man at mary s brother s wedding .
Không bao giờ lái xe nhanh hơn thiên thần hộ mệnh của bạn có thể bay.,never drive faster than your guardian angel can fly .
Cô đến rất gần để bị một chiếc xe hơi chạy qua.,she came very near to being run over by a car .
Thỉnh thoảng bạn nên chăm sóc trẻ em.,you should look after the children from time to time .
"Thành thật mà nói, thật khó để tôi nói ra những gì anh ấy nói.","frankly speaking , it was difficult for me to make out what he was saying ."
"Tất cả trong tất cả, chúng tôi đã có một thời gian tốt trong bữa tiệc.","all in all , we had a good time at the party ."
Chúng tôi phải đảm bảo rằng chúng tôi có đủ tình nguyện viên.,we have to make sure we have enough volunteers .
Tiếng ồn là vấn đề nghiêm trọng nhất đối với những người sống quanh các sân bay.,noise is the most serious problem for those who live around the airports .
Tôi đang bắt đầu vui vẻ trong công việc mới của mình.,i am starting to have fun on my new job .
"Nếu bạn không muốn trả lời, bạn không cần phải làm thế.","if you do not want to answer , you do not have to ."
Con bò đã sinh ra một con bê với hai đầu.,the cow gave birth to a calf with two heads .
Hãy đi và xem càng nhiều thứ càng tốt.,let s go and see as many things as we can .
Anh ấy không chỉ thích bóng chày mà còn cả bóng đá.,he likes not only baseball but football as well .
Thời tiết xấu làm đảo lộn kế hoạch của chúng tôi để đi bộ.,bad weather upset our plans to go on a hike .
Tôi đã nói với bạn rằng tôi sẽ không gọi cho Tom.,i told you i was not going to call tom .
Làm thế nào là khó khăn để có được một hộ chiếu giả?,how hard is it to get a fake passport ?
Tôi chỉ không muốn bạn bị cảm lạnh.,i just do not want you to catch my cold .
"Nếu chúng tôi quyết định thuê bạn, bạn sẽ nghe từ chúng tôi.","if we decide to hire you , you will hear from us ."
Chị tôi đã hát một bài hát tiếng Anh trong bữa tiệc.,my sister sang an english song at the party .
Cuộc chiến bắt đầu với sự trao đổi nhanh chóng của những cú đánh.,the fight began with the rapid exchange of blows .
Nghiên cứu làm thế nào để giao tiếp hiệu quả là thời gian chi tiêu tốt.,studying how to communicate effectively is time well spent .
Thật là ngu ngốc khi tôi phạm sai lầm như vậy.,it was stupid of me to make such a mistake .
Bạn không bao giờ có thể biết loại công việc bạn có thể tìm thấy.,you never can tell what kind of job you might find .
Khách sạn đó không phải là tất cả những gì nó bị phá vỡ.,that hotel is not all it is cracked up to be .
"Nó đã đau trước đây, nhưng không bao giờ xấu như bây giờ.","it is ached before , but never as badly as right now ."
Anh bắt đầu bữa ăn bằng cách uống nửa ly rượu bia.,he began his meal by drinking half a glass of ale .
Tôi tự hỏi bạn của bạn đang làm gì bây giờ.,i wonder what your friend tom is doing now .
Chúng tôi đã rất phấn khích đến nỗi chúng tôi không thể ngồi yên.,we were so excited that we could not sit still .
Một số người nói rằng đó là bản chất của con người để root cho kẻ yếu.,some people say that it is human nature to root for the underdog .
Cô ấy đưa tôi dưới cánh của cô ấy và dạy tôi mọi thứ cô ấy biết.,she took me under her wing and taught me everything she knows .
"Nếu đổ lỗi cho tôi làm cho bạn cảm thấy tốt hơn, hãy đi ngay.","if blaming me makes you feel better , go right ahead ."
Bản dịch của tiểu thuyết Pháp đã mất hơn ba tháng.,the translation of the french novel took him more than three months .
Một bác sĩ đã cố gắng loại bỏ viên đạn ra khỏi đầu tổng thống.,a doctor tried to remove the bullet from the president s head .
Một mô hình mới không nhất thiết phải tốt hơn mô hình cũ.,a new model is not necessarily any better than the older one .
Dân làng đã tìm kiếm đứa trẻ mất tích.,the villagers went in search of the missing child .
Ông dành tất cả thời gian của mình để nghiên cứu lịch sử.,he devoted all his time to the study of history .
"Bất kể bạn nói gì, câu trả lời là không.","no matter what you say , the answer is no ."
Tôi thường đi đến thợ cắt tóc mỗi tháng một lần.,i usually go to the barber once a month .
Tôi hình dung bạn có lẽ sẽ không bao giờ muốn gặp lại tôi.,i figured you would probably never want to see me again .
Tôi sẽ phải bắt tàu đến Paris.,i will have to catch the train to paris .
Không ai trong lớp của anh ấy có thể chạy nhanh hơn anh ấy.,no one in his class can run faster than he does .
Anh cởi áo khoác ra và mặc nó một lần nữa.,he took off his coat and put it on again .
"Cho dù tôi đã cố gắng thế nào, tôi không thể nhớ tiêu đề bài hát đó.","no matter how hard i tried , i could not remember that song s title ."
Không rõ những gì người viết đang cố gắng nói.,it is not clear what the writer is trying to say .
Tom nói với tôi rằng tôi là người anh ấy muốn nói chuyện.,tom told me i was the one he wanted to talk to .
Khung của ngôi nhà nên được hoàn thành trong một hoặc hai ngày.,the frame of the house should be finished in a day or two .
"Chúng tôi xin lỗi, chúng tôi không thể chấp nhận yêu cầu của bạn.",we are sorry we are unable to accept your request .
Tom S bị béo hơn kể từ lần cuối cùng tôi nhìn thấy anh ta.,tom s gotten fatter since the last time i saw him .
"Nếu bạn đã ở lại đây, bạn sẽ có một thời gian rất tốt.","if you had stayed here , you would have had a very good time ."
Cô không thể thuyết phục anh ta chấp nhận một tấm séc cá nhân.,she could not convince him to accept a personal check .
Cô khuyên anh nên chăm sóc bản thân tốt hơn.,she advised him to take better care of himself .
"Nếu chúng ta rời đi ngay bây giờ, chúng ta có thể trở lại Tucson trước khi màn đêm buông xuống.","if we leave now , we could be back in tucson before nightfall ."
Tôi sẽ nói chuyện với bạn vào một thời điểm thích hợp hơn.,i will talk to you at a more appropriate time .
Không có gì trong hợp đồng ngăn cản bạn thuê một luật sư khác.,there is nothing in the contract precluding you from hiring another lawyer .
"Tôi có nhiều thời gian, nhưng không đủ tiền.","i have plenty of time , but not enough money ."
"Anh ta nói cha anh ta bị bệnh, nhưng đó là một lời nói dối.","he said his father was ill , but that was a lie ."
Tôi nghĩ rằng tôi có thể đến Úc cho Giáng sinh.,i think i could come to australia for christmas .
"Anh ta muốn nhìn thấy một trận đấu bò, nhưng cha anh ta sẽ không để anh ta đi.","he wanted to see a bullfight , but his father would not let him go ."
Anh ấy đến gặp tôi ba ngày trước khi anh ấy rời châu Phi.,he came to see me three days before he left for africa .
Một đám cháy có thể lan rộng nhanh hơn bạn có thể chạy.,a fire can spread faster than you can run .
Dữ liệu có thể được truyền từ máy tính chính đến của bạn và ngược lại.,"data can be transmitted from the main computer to yours , and vice versa ."
Tom trồng một cây đào nhỏ trước nhà.,tom planted a small peach tree in front of his house .
Nơi anh sống ở xa thị trấn.,the place where he lives is far from town .
Bạn có thể gặp sự cố trên ghế sofa nếu bạn mệt mỏi.,you can crash on the sofa if you are tired .
"Cô muốn trở về nhà, nhưng cô bị lạc.","she wanted to return home , but she got lost ."
bạn vẫn còn giận tôi à ? không hoàn toàn không .,"are you still mad at me ? no , not at all ."
"Tôi gõ cửa, nhưng không có câu trả lời.","i knocked on the door , but there was no answer ."
Đó là một cái giá rất nhỏ cho một chiến thắng quan trọng như vậy.,it is a very small price for such an important victory .
Anh biến mất vào một góc tối ở phía sau cửa hàng.,he disappeared into a dark corner at the back of the shop .
Ông đưa ra một thông báo về sự thay đổi về giá.,he put up a notice about the change in price .
Cà phê là dành cho tôi và trà là dành cho bạn.,the coffee is for me and the tea is for you .
Tôi đã mua một gói bia sáu trên đường đi làm về.,i bought a six pack of beer on my way home from work .
Tom và Mary đã đến một nhà hàng ưa thích để kỷ niệm ngày cưới của họ.,tom and mary went to a fancy restaurant to celebrate their wedding anniversary .
Thị trấn này đã không thay đổi nhiều trong mười năm qua.,this town has not changed much in the last ten years .
Tôi đã rất ngạc nhiên khi thấy học sinh dọn dẹp lớp học của họ sau giờ học.,i was very surprised to see students cleaning their classroom after school .
Tom và tôi đã quyết định không đến Úc vào dịp Giáng sinh năm nay.,tom and i have decided not to go to australia for christmas this year .
Tại sao bạn không cho chúng tôi một chút để nói chuyện?,why do not you give us a moment to talk ?
Bạn có liên quan gì đến nhóm này không?,do you have something to do with this group ?
Bạn không cần phải đi nếu bạn không muốn.,you do not have to go if you do not want to .
Vụ tai nạn dường như có liên quan đến tuyết nặng.,the accident seemed to have something to do with the heavy snow .
Cơ hội là không có ai mà bạn sẽ trúng xổ số.,the chances are slim to none that you will win the lottery .
Tôi xin lỗi vì tôi đã không viết thư cho bạn trong một thời gian dài như vậy.,i am sorry that i have not written to you in such a long time .
Thật bất cẩn của anh ta khi phạm sai lầm như vậy.,it was careless of him to make such a mistake .
Chúng ta phải tiếp tục nghiên cứu miễn là chúng ta sống.,we must continue to study as long as we live .
Bạn có thể chỉ cho tôi nơi tôi đang ở trên bản đồ này không?,can you show me where i am on this map ?
Chúng tôi đã tìm thấy một trục trặc trong chương trình sẽ phải được xử lý trước khi chúng tôi tiếp tục.,we found a glitch in the program that will have to be dealt with before we move on .
Nếu tôi bỏ lỡ thời hạn thì sao?Tôi cá là anh ấy sẽ giận bạn!,what if i miss the deadline ? i bet he will get mad at you !
Tom đã đến Nhật Bản trong một thị thực kỳ nghỉ làm việc.,tom went to japan on a work holiday visa .
Bạn không nên luôn luôn làm những gì mọi người khác dường như đang làm.,you should not always do what everyone else seems to be doing .
Chúng tôi muốn biết tại sao bạn không ở đây ngày hôm qua.,we want to know why you were not here yesterday .
Tôi muốn bạn giúp tôi nếu bạn không có gì đặc biệt để làm.,i would like you to help me if you have nothing in particular to do .
Tôi sẽ mất bao lâu để hoàn thành bài tập về nhà?,how long will it take me to finish my homework ?
Chúng tôi nhấn mạnh rằng một cuộc họp được tổ chức càng sớm càng tốt.,we insist that a meeting be held as soon as possible .
Người ta nói rằng kho báu được chôn cất trong khu vực này.,it is said that treasure is buried in this area .
Tôi đã làm những điều xấu mà tôi nên bị trừng phạt.,i have done bad things that i should be punished for .
Thật không tốt khi tạo niềm vui cho những người có trở ngại lời nói.,it is not nice to make fun of people with speech impediments .
Tom phải mất một giờ để lái xe đi làm mỗi ngày.,it takes tom an hour to drive to work each day .
Tôi không phải là loại từ bỏ dễ dàng.,i am not the type that gives up so easily .
Một thẩm phán sẽ phát hành lệnh khám xét chỉ khi có nguyên nhân có thể xảy ra.,a judge will issue a search warrant only if there is probable cause .
Rất có khả năng ai đó sẽ chờ đợi chúng tôi.,it is very likely that someone will be waiting for us .
Tom có thể thấy rằng Mary sắp bật khóc.,tom could see that mary was about to burst into tears .
Có một cơ thể trong cốp xe.,there s a body in the trunk of the car .
Một người đàn ông có bụng đầy đủ nghĩ rằng không ai đói.,a man with a full belly thinks no one is hungry .
Chúng ta phải làm điều này ngay bây giờ.không có thời gian .,we have to do this now . there s no time .
Câu hỏi là Tom có thể theo kịp chúng tôi.,the question is can tom keep up with us .
Tôi thức dậy để tìm một tên trộm trong phòng của tôi.,i awoke to find a burglar in my room .
Tom và Mary sống trong một căn nhà gỗ nhỏ.,tom and mary live in a small log cabin .
Tôi sẽ chạy một vài việc vặt.Muốn gắn thẻ?,i am going to run a couple of errands . wanna tag along ?
Đừng ngần ngại đặt câu hỏi nếu bạn không hiểu.,do not hesitate to ask questions if you do not understand .
"Nếu bạn ngủ trưa ở đây, bạn sẽ bị cảm lạnh.","if you take a nap here , you will catch a cold ."
Tom thường đưa ra quyết định tốt dựa trên sự đánh giá thực tế về tình huống mà anh ta phải đối mặt.,tom generally makes good decisions based on a realistic appraisal of the situation he is faced with .
Tôi cần phải biện minh cho lý do tại sao tôi kiếm được một mức lương lớn như vậy.,i needed to justify why i was earning such a large salary .
"Đó là một điều để lập kế hoạch, nhưng hoàn toàn khác để thực hiện chúng.","it is one thing to make plans , but quite another to carry them out ."
"Hãy nhìn xem, tôi đã có một ngày dài và tôi muốn đi ngủ ngay bây giờ.","look , i have had a long day and i want to go to bed right now ."
Tom mở cửa xe và kéo Mary ra.,tom opened the car door and pulled mary out .
"Bạn sẽ không gọi cho bố mẹ tôi, phải không?","you are not going to call my parents , are you ?"
Một số em bé học bơi ngay cả trước khi chúng một tuổi.,some babies learn to swim even before they are one year old .
Hãy đi bị hắt hơi như chúng ta đã làm vào cuối tuần trước.,let s go get snockered like we did last weekend .
Nỗi đau khi mất gia đình đã khiến anh tự sát.,the pain of having lost his family drove him to suicide .
Lưng tôi đau khi ngồi hàng giờ trước máy tính.,my back hurts from sitting for hours in front of the computer .
Họ có thể trả cho tôi nhiều hơn nếu tôi có thể sử dụng máy tính.,they might pay me more if i could use a computer .
Có cần thiết cho tất cả chúng ta ở đó không?,is it necessary for all of us to be there ?
Tom không muốn quay trở lại nơi anh sinh ra.,tom did not want to go back to where he was born .
"Khi tôi mở cửa, tôi đã phá khóa.","when i opened the door , i broke the lock ."
Nó đã xảy ra trước đây và nó có thể sẽ xảy ra một lần nữa.,it has happened before and it will probably happen again .
Tôi muốn cảm ơn bạn vì đã giúp tôi dịch báo cáo sang tiếng Pháp.,i would like to thank you for helping me translate the report into french .
Hiện tại tôi không cần phải làm gì.,for the moment there s nothing in particular i need to be doing .
Nhảy bungee không phải là nhiều niềm vui như vẻ ngoài của nó.,bungee jumping is not as much fun as it looks .
"Tôi thừa nhận anh ấy thông minh, nhưng anh ấy có phải nói chuyện với mọi người mọi lúc không?","i admit he is smart , but does he have to talk over everyone s heads all the time ?"
"Lần tới khi bạn đi đến siêu thị, hãy mua một số giấy vệ sinh.","the next time you go to the supermarket , buy some toilet paper ."
Tom và Mary hẹn hò với nhau trong ba năm.,tom and mary dated each other for three years .
Cây cầu mới sẽ được hoàn thành vào tháng ba.,the new bridge will have been completed by march .
Cha tôi thường đọc sách cho tôi khi đi ngủ.,my father used to read books to me at bedtime .
"Tôi xin lỗi, nhưng tôi không có bất kỳ thay đổi nhỏ nào.","i am sorry , but i do not have any small change ."
Họ tập trung tại quán cà phê cho một cuộc họp.,they gathered at the coffee shop for a meeting .
Đừng đặt nó ở đó.Ai đó có thể đi qua nó.,do not put that there . somebody might trip over it .
Tôi đã hẹn hò với một cô gái như thế nhiều năm trước.,i dated a girl like that many years ago .
"Tôi biết bơi, nhưng tôi không thích bơi trên sông.","i know how to swim , but i do not like swimming in the river ."
Tôi nói tiếng Pháp với bố và tiếng Anh với mẹ tôi.,i speak french to my father and english to my mother .
Chúng tôi đã ở điểm rời đi khi Tom đến.,we were on the point of leaving when tom arrived .
Tôi thường đọc Kinh thánh vào ban đêm ngay trước khi tôi đi ngủ.,i often read the bible at night just before i go to sleep .
Tôi muốn đến Úc một lần nữa trước khi hộ chiếu của tôi hết hạn.,i want to go to australia again before my passport expires .
"Nếu bạn không tin tưởng họ, họ sẽ không tin tưởng bạn.","if you do not trust them , they will not trust you ."
"Trung bình, bạn uống bao nhiêu tách cà phê hàng ngày?","on average , how many cups of coffee do you drink daily ?"
Điều duy nhất thực sự quan trọng là liệu bạn có hạnh phúc hay không.,the only thing that really matters is whether or not you are happy .
Sự thật là chúng ta không thể sống mà không có không khí.,the truth is that we cannot live without air .
Bạn không bao giờ có cơ hội thứ hai để tạo ấn tượng đầu tiên.,you never get a second chance to make a first impression .
Đó là một sự lãng phí thời gian để học tập khi bạn buồn ngủ.,it is a waste of time to study when you are sleepy .
Bạn đã nhận được một món quà Giáng sinh từ Tom năm nay?,did you get a christmas present from tom this year ?
Một nhóm ba người cướp ngân hàng dưới ánh sáng ban ngày.,a gang of three robbed the bank in broad daylight .
Bạn sẽ phải làm việc chăm chỉ nếu bạn muốn vượt qua kỳ thi.,you will have to work hard if you want to pass the exam .
"Bạn luôn phải có từ cuối cùng, không bạn?","you always have to have the last word , do not you ?"
Đọc là tâm trí bài tập là gì với cơ thể.,reading is to the mind what exercise is to the body .
Sữa dê dễ dàng để cơ thể tiêu hóa.,goat milk is easy for the body to digest .
Tom là một trong những người đẹp nhất mà tôi biết.,tom is one of the nicest guys i know .
Có một công việc toàn thời gian và nuôi hai đứa trẻ cùng một lúc là khó khăn.,having a full time job and raising two kids at the same time is hard .
Tôi yêu cầu anh ấy không chơi piano vào đêm khuya.,i asked him not to play the piano late at night .
Cô ngồi đó lặng lẽ với những giọt nước mắt.,she sat there silently with tears in her eyes .
Cô ấy đề nghị tôi đưa nó cho anh ấy ngay lập tức.,she suggested that i give it to him right away .
Mọi người trên độ tuổi của có thể lái xe ô tô.,people over the age of can drive cars .
Bạn nên cho rằng chúng tôi sẽ không có đủ tiền để mua mọi thứ chúng tôi muốn.,you should assume that we will not have enough money to buy everything we want .
Cô chạy rất nhanh để bắt kịp các thành viên khác.,she ran very fast to catch up with the other members .
"Gần đây, nhiều người đang cảm thấy khó khăn để kiếm sống tốt.","recently , many people are finding it hard to make a decent living ."
Anh ấy đã đánh bại tình bạn với những người khó xảy ra nhất.,he struck up friendships with the most unlikely people .
Người biết thường nói nhất là ít nhất.,he who knows the most often says the least .
Tôi tự hỏi nếu sẽ có nhiều tuyết trong năm nay so với năm ngoái.,i wonder if there will be more snow this year than last year .
"Bạn là người quyết định làm công việc này, phải không?","you are the one who decided to do this job , right ?"
Tôi rất ấn tượng bởi quảng cáo gần đây của bạn trên tờ Thời báo New York.,i am impressed by your recent advertisement in the new york times .
Tôi nhìn Tom vào mắt và nói với anh ấy sự thật.,i looked tom in the eyes and told him the truth .
Bạn là người duy nhất từng đến thăm tôi.,you are the only person who ever comes to visit me .
"So với bạn, tôi chỉ là người mới bắt đầu trong trò chơi này.","compared to you , i am just a beginner at this game ."
Tôi chỉ không cắt ra cho loại công việc này.,i am just not cut out for this kind of work .
"Vào những ngày đó, tôi đã làm cho nó đi dạo trước khi ăn sáng.","in those days , i made it a point to take a walk before breakfast ."
Bạn có thể điều chỉnh bàn này theo chiều cao của bất kỳ đứa trẻ nào.,you can adjust this desk to the height of any child .
"Năm ngoái, tôi không thể dành nhiều thời gian cho các con như tôi muốn.","last year , i could not spend as much time with my children as i wanted to ."
Tôi muốn chờ xem Tom đề xuất những gì.,i want to wait and see what tom proposes .
Cô yêu cầu anh đọc nó cho cô vì cô đã bị mất kính.,she asked him to read it for her because she had lost her glasses .
Tôi nghĩ rằng cả ba chúng tôi sẽ ở đó vào ngày mai.,i think all three of us will be there tomorrow .
Bạn không thể sử dụng vòi này.nó không đúng thứ tự.,you cannot use this faucet . it is out of order .
Anh rời khỏi nhà mà không nói lời tạm biệt.,he left the house without so much as saying goodbye .
Tôi không thể mua cái này vì tôi không có đủ tiền.,i cannot buy this because i do not have enough money .
"Cho dù bạn cố gắng thế nào, bạn sẽ không thể hoàn thành điều đó trong một ngày.","no matter how hard you try , you will not be able to finish that in one day ."
Ngôi nhà của chúng tôi đã bị phá vỡ bởi những kẻ trộm đêm qua.,our house was broken into by burglars last night .
Anh ấy đã hoàn thành bữa tối vì anh ấy không thích lãng phí thức ăn.,he finished his dinner because he did not like to waste food .
Tôi cảm thấy tôi chỉ phải xuống tàu.,i felt i just had to get off the ship .
Tôi không biết sẽ chi phí bao nhiêu để sửa chữa xe của tôi.,i did not know how much it would cost to get my car repaired .
Đôi khi rất khó để làm cho bản thân hiểu trước công chúng.,it is sometimes difficult to make yourself understood in public .
Anh đang mỉm cười như thể không có gì xảy ra với anh.,he was smiling as if nothing had happened to him .
"Nếu bạn đang nhận được hóa đơn, bạn sẽ không nói điều đó.","if you were footing the bill , you would not say that ."
Đó là một trong những thời điểm tốt nhất trong cuộc đời tôi.,that was one of the best times of my life .
Bạn có một căn phòng rẻ hơn một chút?,do you have a room that is a little cheaper ?
"Tom nói anh ta bị bệnh, đó là một lời nói dối.","tom said he was ill , which was a lie ."
Bạn không nên ăn ngay trước khi đi ngủ.,you should not eat just before you go to bed .
Nó có giá cao hơn để đúc một xu so với bản thân penny là giá trị.,it costs more to mint a penny than the penny itself is worth .
Chồng cô ăn tất cả những gì cô đặt trước mặt anh.,her husband eats everything she puts in front of him .
Hoa Kỳ đã chính thức chấm dứt các lệnh trừng phạt kinh tế đối với Miến Điện.,the united states has officially ended economic sanctions against burma .
"Nếu bạn muốn có được trên thế giới, bạn không được thu nhỏ từ nỗ lực.","if you wish to get on in the world , you must not shrink from effort ."
"Kể từ khi tai nạn, tôi không thích nhìn vào gương.","since the accident , i do not like looking in the mirror ."
Tôi là một trong ba mươi người cần phải làm điều đó.,i am one of the thirty people who needed to do that .
Bạn có thể cho tôi biết bất cứ điều gì về điều đó sẽ xảy ra ở đây hôm nay?,can you tell me anything about that is going to happen here today ?
"Anh ấy rất thân thiện, vì vậy tôi thích làm việc với anh ấy.","he is very friendly , so i enjoy working with him ."
"Hôm qua, tôi tình cờ gặp giáo viên của mình tại công viên giải trí.","yesterday , i ran into my teacher at the amusement park ."
Nhật ký của cô đã hình thành nên cơ sở của cuốn sách mà cô sau này viết.,her diaries formed the basis of the book she later wrote .
Sương mù nặng nề khiến chúng ta không thể nhìn thấy bất cứ điều gì trước mặt chúng ta.,the heavy fog made it impossible for us to see anything in front of us .
