SRC	TRG
he asked me who i thought would win the race .	il me demanda qui je pensais gagnerait la course .
she hated him so much that our family could never go and visit him .	elle le detestait tant que notre famille ne pouvait jamais aller lui rendre visite .
it is not easy to come by watermelons at this time of year .	ce n est pas facile de trouver des pasteques a cette periode de l annee .
additional imports of american beef are planned to meet rising demand .	il est prevu d augmenter l importation de b uf americain pour satisfaire la demande croissante .
you know as well as i do that we cannot afford to buy that kind of car .	tu sais aussi bien que moi que nous ne pouvons pas nous permettre d acheter ce genre de voiture .
she looked at the picture to refresh her memory .	elle regarda la photo pour se rafraichir la memoire .
i go to the library from time to time .	je vais a la bibliotheque de temps en temps .
tom hoped mary would come back home for christmas .	tom esperait que marie reviendrait a la maison pour noel .
the politician tried to cover up the insider trading .	le politicien a essaye de couvrir le delit d initie .
you can make your dream come true by working hard .	vous pouvez faire prendre corps a votre reve en travaillant dur .
his name was on the tip of my tongue , but i could not remember it .	j avais son nom au bout de la langue mais je ne pouvais m en souvenir .
he believed that blacks could win their fight for equal rights without violence .	il croyait que les noirs pouvaient gagner leur combat pour l egalite des droits sans avoir recours a la violence .
he banged his head against a shelf and got a big lump .	il s est cogne la tete contre une etagere et s est fait un gros hematome .
students are impatient for the summer holidays to come .	les etudiants sont impatients que les vacances d ete arrivent .
my sister married him in spite of our objections .	ma s ur s est mariee avec lui malgre nos objections .
if you find a mistake , please leave a comment .	si vous trouvez une erreur merci de laisser un commentaire .
you could pass for a teenager if you wore a t shirt .	tu pourrais passer pour un adolescent si tu portais un t shirt .
just throw your bicycle in the back of the truck and i will drive you home .	flanque juste ton velo a l arriere du camion et je te conduirai a la maison .
a rabbit has long ears and a short tail .	un lapin a de longues oreilles et une petite queue .
how many packs of cigarettes do you smoke daily ?	combien de paquets de cigarettes fumez vous par jour ?
you must make an effort to get along with everyone .	tu dois faire un effort pour t entendre avec tout le monde .
i wish i could figure out how to get more people to visit my website .	j aimerais pouvoir trouver comment faire pour que plus de gens visite mon site web .
my sister was robbed of her bag on her way home last night .	ma s ur s est fait voler son sac en rentrant chez elle hier soir .
she advised him not to believe everything the teacher says .	elle lui recommanda de ne pas croire tout ce que l enseignant disait .
introducing democratic ideas into that country will be a slow process .	introduire des idees democratiques dans ce pays sera un long processus .
how can you be so passive ? why do not you retaliate ?	comment peux tu etre aussi passif ? pourquoi tu ne ripostes pas ?
fruits and vegetables are essential to a balanced diet .	les fruits et les legumes sont essentiels a une alimentation equilibree .
i am trying to find a publisher for the book i just finished writing .	j essaie de trouver un editeur pour le livre dont je viens de terminer l ecriture .
no matter what you say , the answer is no .	peu importe ce que tu dis la reponse est non .
napoleon was exiled to the island of elba in .	napoleon a ete exile a l ile d elbe en .
i agree with what you say to some extent .	dans une certaine mesure je suis d accord avec ce que tu dis .
my cousin is not the kind of person who would ever break a promise .	mon cousin n est pas le genre de personne qui romprait jamais une promesse .
a bird is known by its song and a man by his way of talking .	un oiseau est reconnu a son chant et un homme a ce qu il dit .
you never can tell what you might find at that store .	on ne peut jamais dire ce qu on pourrait trouver dans ce magasin .
i would like to sing a song for you that i just wrote .	j aimerais te chanter une chanson que je viens d ecrire .
do you think you could help me do that ?	penses tu que tu pourrais m aider a faire ca ?
why are not you going ? because i do not want to .	 pourquoi tu n y vas pas ? parce que je ne veux pas . 
there was nothing but sand as far as the eye could see .	il n y avait rien d autre que du sable aussi loin que l il pouvait voir .
could i please have one more can of beer ?	puis je avoir encore une canette de biere s il vous plait ?
tom is not the slightest bit interested in my suggestion .	tom n est pas du tout interesse par ma suggestion .
it is better to take your time than to hurry and make mistakes .	il vaut mieux prendre ton temps plutot que te depecher et te tromper .
we have not been to boston in a long time .	nous ne sommes pas alles a boston depuis longtemps .
carbon dating was performed on the sample to determine its age .	une datation au carbone fut realisee sur l echantillon afin de determiner son age .
i do not like to eat fish with many bones .	je n aime pas les poissons qui ont trop d aretes .
the sooner you return , the happier your father will be .	le plus tot tu reviendras le plus heureux sera ton pere .
tom decided to give mary everything she asked for .	tom decida de donner a mary tout ce qu elle voulait .
i should have advised tom to not talk to mary anymore .	j aurais du prevenir tom de ne plus parler a mary .
if he is in middle circumstances his clothes will be chosen chiefly for comfort .	s il se trouve en situation intermediaire il choisira ses vetements principalement pour leur confort .
the sky grew darker and darker , and the wind blew harder and harder .	le ciel devenait de plus en plus sombre et le vent de plus en plus violent .
a boy of seventeen is often as tall as his father .	un adolescent de ans est souvent aussi grand que son pere .
she went out of the room with downcast eyes .	elle est sortie de la piece avec un regard demoralise .
i am not any more to blame than you are .	je n y suis pour rien pas plus que toi .
i promise i will pay you back the money i owe you before the end of the month .	je promets que je te rembourserai l argent que je te dois avant la fin du mois .
if you stand on this stool , you can reach the top of the closet .	si tu veux atteindre le placard du haut tu dois monter sur un tabouret .
i cannot ask you to take that sort of risk .	je ne peux pas vous demander de courir un tel risque .
i wish him the very best in his future endeavors .	je lui souhaite le meilleur dans ses futures entreprises .
please help me cut up vegetables for the salad .	aide moi a couper les legumes pour la salade s il te plait .
while i was waiting for the bus , i witnessed a traffic accident .	tandis que j attendais le bus j ai assiste a un accident .
this book is for students whose native language is not japanese .	ce livre est destine aux etudiants dont le japonais n est pas la langue maternelle .
i needed to justify why i was earning such a large salary .	il a fallu que je justifie pourquoi je gagnais un salaire aussi eleve .
do you have anything to do ? nothing in particular .	 avez vous quelque chose a faire ? rien de special . 
we just have to wait for the dust to settle .	nous devons juste attendre que les choses se tassent .
my doctor received her medical degree from a prestigious university .	mon medecin a obtenu son diplome de medecine dans une universite prestigieuse .
how old were you when you moved to boston ?	quel age avais tu quand tu as demenage a boston ?
the cuffs of his suit jacket are badly frayed .	les poignets de la veste de son complet sont tres uses .
tom always goes back home to boston for christmas .	tom retourne toujours chez lui a boston pour noel .
you cannot just make up the rules as you go along .	vous ne pouvez pas juste inventer les regles en cours de route .
tom said that he will not do that unless you help him .	tom a dit qu il ne le fera pas si vous ne l aidez pas .
tom always walks to school when it is not raining .	tom va toujours a l ecole a pied quand il ne pleut pas .
to reduce misunderstandings we should learn the techniques for communicating successfully .	afin de diminuer les incomprehensions nous devons apprendre les techniques pour communiquer avec succes .
i cannot wait to go to boston to visit tom .	j ai trop hate d aller a boston pour voir tom .
he works on the farm from morning till night .	il travaille a la ferme du matin au soir .
she sang the song with tears running down her cheeks .	elle a chante des chansons des larmes lui coulant sur les joues .
i want to hear anything you have to say .	je veux entendre tout ce que tu as a dire .
i get more than two hundred emails a day .	je recois plus de deux cents courriels par jour .
he met many fascinating people in the course of his travels .	il a rencontre beaucoup de gens fascinants au cours de ses voyages .
i have been very busy since the new term started .	j ai ete tres occupe depuis le debut du nouveau mandat .
do not interfere with him if you want him to like you .	ne te mele pas de ses affaires si tu veux qu il t aime .
i just want to say i am glad that you are here .	je veux juste dire que je suis content que vous soyez ici .
i was just doing what had to be done .	je faisais juste ce qui avait besoin d etre fait .
tom took his new car out for a spin .	tom sortit sa nouvelle voiture pour faire une balade .
it is cheap , but on the other hand it is not good .	c est bon marche mais d un autre cote la qualite est mauvaise .
he has two daughters , one is a pianist and the other is a violinist .	il a deux filles l une est pianiste l autre violoniste .
tom did not seem to be aware that he was supposed to do that .	tom ne semblait pas au courant qu il etait cense faire cela .
it is easy for me to answer the question .	c est facile pour moi de repondre a cette question .
the changes resulting from the womengs movement have affected both women and men .	les changements resultants du mouvement des femmes ont affecte et les femmes et les hommes .
i was planning to go there by bike , but it rained .	j avais prevu d y aller en velo mais il a plu .
we are a bit busy at the moment . can you hang on a minute ?	nous sommes un peu occupes en ce moment . voulez vous bien attendre une minute ?
there was a long line at the womengs restrooms .	il y avait une longue queue aux toilettes des femmes .
we had to gear our lives to the new circumstances .	il nous a fallu adapter nos vies aux nouvelles circonstances .
tom locked himself in the bathroom and refused to come out .	tom s enferma dans la salle de bain et refusa d en sortir .
unless you started learning english as a child , you are unlikely to ever sound like a native speaker .	a moins d avoir commence enfant a apprendre l anglais il est improbable de jamais passer pour un locuteur natif .
i am sure a lot of people would agree with you .	je suis sure que beaucoup de gens seraient d accord avec toi .
she was seen at a restaurant with her lover .	elle a ete vue au restaurant avec son amant .
i want to speak to whoever is in charge here .	je veux parler a quiconque est ici le responsable .
we spent a lot of time looking for a parking lot .	nous avons passe beaucoup de temps a chercher un parking .
tom told me he was determined to do that .	tom m a dit qu il etait determine a faire ca .
if i were to tell you all i know , you would be amazed .	s il me fallait te dire tout ce que je sais tu serais stupefait .
young as he is , he has a large family to provide for .	jeune comme il est il a une grande famille a nourrir .
since he does not feel well today , he cannot come to the office .	comme il ne sent pas bien aujourd hui il ne peut pas venir au bureau .
it is a pity that you cannot travel with us .	il est dommage que vous ne puissiez voyager avec nous .
there s been a lot of activity around the office this morning .	il y a eu beaucoup d activites dans le bureau ce matin .
i do not like to go out without a coat on such a cold day .	par une journee aussi froide je n aime pas sortir sans une veste .
i will be back soon . i have to run to the post office .	je reviens vite . je dois courir a la poste .
i do not know how to pronounce tom s last name .	je ne sais pas comment prononcer le nom de famille de tom .
tom looks more like a teacher than a student .	tom ressemble plus a un professeur qu a un eleve .
there is not much possibility of his coming on time .	il y a peu de chance qu il arrive a l heure .
i know tom is a lot taller than mary .	je sais que tom est bien plus grand que marie .
a girl with blonde hair came to see you .	une fille aux cheveux blonds est venue te voir .
why do not we go to the park or something ?	pourquoi n allons nous pas au parc ou quelque part ?
tom flopped onto his bed and was soon fast asleep .	tom s est affale sur son lit et n a pas tarde a dormir profondement .
tom did not know where mary had put her suitcases .	tom ne savait pas ou marie avait mis ses valises .
several students were absent from school because of colds .	plusieurs eleves se sont absentes de l ecole pour cause de rhume .
i wonder what all of them have in common .	je me demande ce qu ils ont tous en commun .
data can be transmitted from the main computer to yours , and vice versa .	les donnees peuvent etre transmises de l ordinateur principal a votre propre ordinateur et vice versa .
i do not want to be a burden to my parents .	je ne veux pas etre un fardeau pour mes parents .
he had such a bad headache that he had to cancel the meeting .	il avait un tel mal de tete qu il a du annuler la reunion .
it is easier to spend a lot than to save a little .	il est plus facile de beaucoup depenser que d epargner un peu .
i cannot stand being cooped up in this prison !	je ne supporte pas d etre enferme dans cette prison !
i will have obtained a driver s license by the end of the year .	j aurai obtenu mon permis de conduire d ici la fin de l annee .
i missed a step on the stairs and i am afraid i sprained my ankle .	j ai rate une marche dans l escalier et j ai bien peur de m etre foule la cheville .
i do not know why they hate each other so much .	je ne sais pas pourquoi ils se detestent autant .
what was your relationship with your father like when you were a kid ?	comment etait ta relation avec ton pere quand tu etais enfant ?
i go to the museum whenever i get the chance .	je me rends au musee chaque fois que j en ai l occasion .
can a person born blind ever understand what colors are ?	un aveugle de naissance peut il jamais comprendre ce que sont les couleurs ?
do you want to spend the rest of your life alone ?	veux tu passer seul le reste de ta vie ?
i think that japan is a very safe country .	je crois que le japon est un pays tres sur .
i am finally able to understand that is interesting about professional shogi .	je suis enfin capable de comprendre ce qui est interessant dans le shogi professionnel .
you can see the whole city from this hill .	tu peux voir toute la ville depuis cette colline .
most people in the village objected to the plan .	la plupart des habitants du village se sont opposes au projet .
it goes without saying that nobody can come between us .	il va sans dire que personne ne peut nous separer .
the hikers were all but frozen when they were found .	les randonneurs etaient pratiquement geles quand on les a trouves .
tom held a glass filled with wine in his left hand .	tom tenait un verre rempli de vin dans sa main gauche .
i will come on wednesday evening unless i hear from you to the contrary .	je viendrai mercredi soir a moins que tu ne dises le contraire .
i picked up the broken glass as carefully as i could .	j ai ramasse le verre brise aussi soigneusement que possible .
the resolution to the problem was close at hand .	la resolution du probleme etait a portee de main .
after his death , his paintings were hung in the museum .	apres sa mort ses peintures ont ete exposees au musee .
the old man wanders from town to town peddling his wares .	le vieil homme erre de ville en ville colportant ses marchandises .
i did not know what it meant at that time .	je ne savais pas ce que ca voulait dire a l epoque .
recently the demand for this product has increased faster than the supply .	recemment la demande pour ce produit a augmente plus rapidement que l offre .
she was happy to be introduced to him at the party .	elle etait contente de lui etre presentee a la fete .
their contract is to run out at the end of this month .	leur contrat vient a expiration a la fin de ce mois .
my daughter s getting all gussied up for her first date .	ma fille se fait toute belle pour son premier rendez vous galant .
it is not that i do not love you , i just do not want to get married .	ce n est pas que je ne t aime pas je ne veux juste pas me marier .
this company is listed on the paris stock exchange .	cette entreprise est cotee a la bourse de paris .
as soon as the child saw his mother , he stopped crying .	aussitot que l enfant vit sa mere il cessa de pleurer .
did you hear about tom and mary splitting up ?	as tu entendu dire que tom et marie se sont separes ?
tom said that he wanted to go visit santa claus at the north pole .	tom a dit qu il voulait rendre visite au pere noel au pole nord .
it was not until yesterday that we noticed the animal missing .	ce n est qu hier que nous avons constate que l animal avait disparu .
the only fish tom likes to eat is salmon .	le seul poisson que tom aime manger est le saumon .
i have to finish reading that book by tomorrow .	je dois avoir fini de lire ce livre d ici demain .
you will have to tell me what you want to eat .	il faudra me dire ce que tu veux manger .
if you cannot have children , you could always adopt .	si tu ne peux pas avoir d enfants tu peux toujours en adopter .
it may be unwise of you to advertise your presence .	il n est peut etre pas raisonnable de faire savoir votre presence .
she spends more time thinking about work than doing it .	elle passe davantage de temps a penser au travail qu a le faire .
i would like two scoops of ice cream in a cone , please .	je voudrais deux boules de glace dans un cone s il vous plait .
i think it is very likely that they will arrive next week .	je pense qu il est hautement probable qu ils arrivent la semaine prochaine .
the mechanic fixed my car without charging me a dime .	le mecanicien a repare ma voiture sans me charger un sou .
the poor boy was knocked down by a car .	le pauvre garcon a ete fauche par une voiture .
it is time for me to strike out on my own .	il est temps pour moi de me mettre a mon compte .
you are the only person i know who can help me .	vous etes la seule personne que je connaisse qui puisse m aider .
the industrial production of livestock is the leading contributor to greenhouse gases .	la production industrielle de betail est la premiere source de gaz a effet de serre .
we had native guides on our trip to the mountain .	nous avions des guides locaux pour notre voyage en montagne .
the sun is beating down and there s no shade in sight .	le soleil tape et il n y a pas d ombre en vue .
he anonymously donated a large sum of money to the red cross .	il a anonymement donne une grosse somme d argent a la croix rouge .
tom is now the star of a reality show .	tom est maintenant la vedette d une emission de tele realite .
everyone in the class learned the poem by heart .	tous dans la classe apprirent le poeme par c ur .
in the u . s . , it is common for people to write a check instead of paying cash .	aux usa les gens redigent couramment des cheques au lieu de payer en liquide .
i sat at the front in order to hear the lecture clearly .	je me suis assis devant pour bien entendre le cours .
she would often bring home table scraps from the restaurant where she worked to feed to her dog .	elle ramenait souvent des restes du restaurant ou elle travaillait pour donner a manger a son chien .
small businesses are often absorbed by a major company .	les petites entreprises sont souvent englouties par les grandes compagnies .
there were a lot of men among the inhabitants .	il y avait une quantite d hommes parmi les habitants .
how much is the car that you are planning to buy ?	combien coute la voiture que tu prevois d acheter ?
my aunt wears glasses when she reads the papers .	ma tante porte des lunettes quand elle lit le journal .
it is so warm in this room that i am sweating .	il fait si chaud dans cette piece que ca me fait transpirer .
i want to know who threw the first punch .	je veux savoir qui a donne le premier coup .
when i was a child , i would spend hours reading alone in my room .	quand j etais petit je passais des heures a lire tout seul dans ma chambre .
it is interesting to hear from someone in a different field .	c est interessant d entendre quelqu un qui vient d un autre horizon .
the contents of the four registers are preserved by the called subroutine .	le contenu des quatre registres est conserve par la sous routine appelee .
if you rest , you will be back on your feet again soon .	si vous vous reposez vous serez bientot de nouveau sur pieds .
if you are going to doubt everything , at least doubt your doubt .	si tu dois douter de tout doute au moins de tes doutes .
at the sound of my voice , my dog pricked up his ears .	au son de ma voix mon chien dressait l oreille .
tom just tells people what they want to hear .	tom ne dit aux gens que ce qu ils veulent entendre .
tom injured himself when he jumped out of the window .	tom s est blesse lorsqu il a saute par la fenetre .
my tv set is almost years old , but it still has a good picture .	mon poste de television a presque ans mais l image est encore bonne .
we went to the theater early , so we could be sure that everyone could get a seat .	nous nous rendimes tot au theatre de sorte que nous puissions etre assures que chacun pourrait avoir un fauteuil .
he never recovered from the death of his son .	il ne s est jamais remis de la mort de son fils .
i plan to help tom steal some cars . that would be unwise .	 j ai l intention d aider tom a voler des voitures . ce serait peu judicieux . 
it was a pleasant day , but there were few people in the park .	c etait une journee agreable mais il y avait peu de monde dans le parc .
i do not know why tom did not want us there .	je ne sais pas pourquoi tom ne voulait pas de nous la bas .
please turn off the light before you go to bed .	je te prie d eteindre la lumiere avant d aller au lit .
could you please tell me again why you are late ?	pourrais tu me repeter pourquoi tu es en retard ?
i need time to mull things over before i decide what to do .	j ai besoin de temps pour reflechir avant de decider quoi faire .
the last thing i want to do now is clean the bathroom .	la derniere chose que je veux faire maintenant est de nettoyer la salle de bain .
the prime minister will hold a press conference tomorrow .	le premier ministre tiendra une conference de presse demain .
i went to the post office to send a package .	je suis alle a la poste pour envoyer un colis .
tom still works at the same restaurant where mary works .	tom travaille toujours dans le meme restaurant ou travaille mary .
you cannot fight a good fight with such a defeatist attitude .	tu ne peux pas livrer une bonne bataille avec une attitude aussi defaitiste .
stop worrying about that and focus on your work .	arrete de te faire du souci pour ca et concentre toi sur ton travail .
have you left the state within the last days ?	avez vous quitte l etat au cours des derniers jours ?
my mother happened to be there when the fire broke out .	ma mere se trouvait la par hasard lorsque le feu s est declare .
i can do that in less than ten minutes .	je peux faire ca en moins de dix minutes .
we should be able to finish this in a day or two .	on devrait pouvoir finir ca en un jour ou deux .
no matter what you say , i do not think tom is a nice guy .	peu importe ce que tu dis je ne pense pas que tom est un gars sympa .
i tried my best to get here on time .	j ai fait de mon mieux pour arriver a l heure .
the price of carrots is going to skyrocket this winter because of the drought .	le prix des carottes va exploser cet hiver du fait de la secheresse .
if you really want to know , all you have to do is ask .	si vous voulez vraiment savoir tout ce que vous avez a faire est de demander .
who will be coming to the party ? a few friends and four or five colleagues .	 qui viendra a la fete ? quelques amis et quatre ou cinq collegues . 
tom says he taught himself how to do that .	tom dit qu il a appris seul comment faire cela .
my sister belonged to the basketball club last year .	ma s ur faisait partie du club de basketball l annee derniere .
he gave up his attempt once and for all .	il a une fois pour toutes abandonne sa tentative .
tom gave mary a gift certificate on her birthday .	tom a donne un cheque cadeau a marie pour son anniversaire .
teachers should never make fun of students who make mistakes .	les enseignants ne devraient jamais se moquer des eleves qui commettent des fautes .
how many times a month do you write a letter to your mother ?	combien de fois par mois ecris tu une lettre a ta mere ?
tom is lying . i did not do what he says i did .	tom ment . je n ai pas fait ce qu il dit que j ai fait .
tom did not want to wear the shirt his mother had gotten him for christmas .	tom ne voulait pas porter la chemise que sa mere lui avait offerte pour noel .
his car is small and takes up little room .	sa voiture est petite et prend peu de place .
as a boy , he would go to the seaside every summer .	enfant il allait a la mer tous les etes .
it is not healthy to stay in your room all day .	ce n est pas sain de rester dans ta chambre toute la journee .
there s a hole in the bottom of the bucket .	il y a un trou au fond du seau .
i went to sleep as soon as i got home .	j allai au lit aussitot que je rentrai chez moi .
tom sent a dozen roses to mary on valentine s day .	tom a envoye une douzaine de roses a mary pour la saint valentin .
tom may come and visit me any time he wants to .	tom peut venir me rendre visite quand il le souhaite .
i plan to go . i do not care if you do or not .	je prevois de m y rendre . je me fiche que tu y ailles ou pas .
seeing that it is o clock , i think you should leave for school soon .	constatant qu il est deja heures je pense que tu devrais partir bientot pour l ecole .
i have told you over and over again not to do that .	je t ai sans cesse repete de ne pas faire ca .
what kinds of plants are you growing in your garden ?	quelles sortes de plantes fais tu pousser dans ton jardin ?
freedom is so fundamental that its importance cannot be overemphasized .	la liberte est si importante que nous n insisterons jamais assez sur son importance .
i heard tom say he needed to find mary .	j ai entendu tom dire qu il avait besoin de trouver mary .
the sunglasses made him look like an undercover policeman .	avec les lunettes de soleil il avait l air d un policier en planque .
i was not planning on doing that , but now that you suggest it , i may give it a try .	je n avais pas prevu de faire ca mais maintenant que tu le dis je vais peut etre essayer .
more students apply to the university than can be accepted .	davantage d etudiants se portent candidats a l universite qu il ne peut en etre admis .
immediately after it caught fire , the chemical factory blew up .	immediatement apres avoir pris feu l usine chimique a explose .
tom says that mary definitely does not want to be married .	tom dit que mary ne veut absolument pas se marier .
each time i went to see him , i found him at work .	chaque fois que je suis venu le voir je l ai trouve au travail .
she managed to learn how to drive a car .	elle se menagea afin d apprendre a conduire une voiture .
we will have known each other for three years next christmas .	cela fera trois ans que nous nous connaissons a noel prochain .
i now know more about tom than i really want to know .	a present j en sais plus sur tom que ce que j aurais reellement voulu savoir .
do you hate tom ? no , i just think he is a bit strange .	 detestes tu tom ? non je le trouve juste un peu etrange . 
it is no use arguing with him about it .	il est inutile de se quereller avec lui a ce sujet .
who is currently the richest person in the world ?	qui est actuellement la personne la plus riche au monde ?
she advised him to give up smoking , but he would not listen to her .	elle lui recommanda d arreter de fumer mais il refusait de l ecouter .
the swimmer raised his head and gasped for breath .	le nageur dressa la tete et chercha apres l air .
i think you know exactly what i am talking about .	je pense que tu sais exactement de quoi je parle .
he sings so well that it is impossible to hold back tears .	il chante tellement bien qu il est impossible de retenir ses larmes .
i got several bites , but could not hook a fish .	j ai eu plusieurs prises mais je n ai pas reussi a attraper un poisson .
i am a non native speaker of english and realize there is a lot that i still need to learn .	je suis un locuteur non natif de l anglais et je prends conscience que j ai encore beaucoup a apprendre .
take your time . we have all afternoon to shop .	prenez votre temps . nous avons toute l apres midi pour faire les magasins .
she took me under her wing and taught me everything she knows .	elle me prit sous son aile et m enseigna tout ce qu elle savait .
this is the restaurant where we had dinner last week .	voici le restaurant ou nous avons dine la semaine derniere .
if i would known what you were going to do , i would have tried to stop you .	si j avais su ce que tu allais faire j aurais essaye de te stopper .
i think it must have been tom who broke the window .	je pense que ca a du etre tom qui a brise la fenetre .
tom was the one who taught me how to milk a goat .	c est tom qui m a appris a traire une chevre .
i know it is not what you suggested , but it was all i could do .	je sais que ce n est pas ce que tu as suggere mais c est tout ce que j ai pu faire .
do you want me to bring you something to eat ?	veux tu que je t apporte quelque chose a manger ?
what do you think caused him to lose his job ?	qu est ce qui selon vous a cause la perte de son emploi ?
i do not want there to be any chance of our missing the train .	je ne veux pas qu il y ait la moindre chance que nous manquions le train .
an anonymous benefactor bequeathed several hundred thousand dollars to an animal shelter .	un bienfaiteur anonyme a fait don de plusieurs centaines de milliers de dollars a un refuge animalier .
i wonder if tom lied to us about that .	je me demande si tom nous a menti a propos de cela .
i cannot imagine many people wanting to read this book more than once .	je n arrive pas a imaginer que beaucoup de gens aient envie de lire ce livre plus d une fois .
i do not know why you want me to do this .	je ne sais pas pourquoi tu veux que je fasse ca .
tom asked mary many questions that she could not answer .	tom a pose beaucoup de questions a mary auxquelles elle ne pouvait pas repondre .
who sings the best of all the boys in your class ?	des garcons de ta classe qui chante le mieux ?
there are a good many reasons why you should not do it .	il y a un bon nombre de raisons pour lesquelles vous ne devriez pas le faire .
she always takes her time in choosing her dress .	elle prend toujours son temps pour choisir sa robe .
you should look after the children from time to time .	tu devrais surveiller les enfants de temps en temps .
my mother is always poking her nose into my private life .	ma mere est toujours en train de fourrer son nez dans ma vie privee .
the delay forced us to stay overnight in an expensive hotel .	le retard nous a force a passer la nuit dans un hotel cher .
when we arrived at the stadium , the game had already started .	lorsque nous arrivames au stade la partie avait deja commence .
i want to go to australia once again before my passport expires .	je voudrais aller encore une fois en australie avant que mon passeport n expire .
did it really take three hours to do that ?	est ce que ca a vraiment pris trois heures de faire ca ?
tom lived in that small house for a little over ten years .	tom a vecu dans cette petite maison pendant un peu plus de dix ans .
i ought to have consulted my parents on the matter .	j aurais du consulter mes parents au sujet de cette affaire .
are tom and mary dating ? no , they are just good friends .	 est ce que tom et marie sont en couple ? non ils sont juste bons amis . 
my computer crashed and now it will not start up .	mon ordinateur a plante et maintenant il ne demarre plus .
according to the weather forecast , the rainy season will set in next week .	d apres les previsions meteorologiques la saison des pluies debutera la semaine prochaine .
did not you hear the voice in the next room ?	n as tu pas entendu une voix dans la piece voisine ?
how much is he asking for ? a thousand euros .	 combien est ce qu il en demande ? mille euros . 
i would rather stay at home than go out .	je prefere encore rester a la maison plutot que de sortir .
it goes without saying that nothing is more important than health .	il va sans dire que rien n est plus important que la sante .
tom fell asleep as soon as his head hit the pillow .	tom s est endormi aussitot sa tete posee sur l oreiller .
while she was staying in japan , she often visited kyoto .	durant son sejour au japon elle a souvent visite kyoto .
let us stop to think how much we depend upon atomic energy .	arretons nous pour reflechir a combien nous dependons de l energie atomique .
the couple spent a lot of money on furnishing their house .	le couple depensa beaucoup d argent pour meubler sa maison .
he could not wait to try out his new surfboard .	il ne pouvait attendre d essayer sa nouvelle planche de surf .
it is ached before , but never as badly as right now .	ca a fait mal avant mais pas aussi cruellement que maintenant .
you do not have to be tall to play basketball .	tu n as pas besoin d etre grand pour faire du basket .
how will you keep tom from going to the police ? i will offer him money .	 comment empecherez vous tom d aller voir la police ? je lui offrirai de l argent . 
i have to stay at a hotel near the airport tonight .	je dois rester dans un hotel pres de l aeroport ce soir .
she is on the verge of a nervous breakdown .	elle est au bord de la crise de nerfs .
make sure you cut the board against the grain .	assurez vous de couper la planche dans le sens contraire du fil .
do you know what to do if there s a fire in the building ?	savez vous quoi faire s il y a un incendie dans le batiment ?
i watched a movie with my friend in my room .	j ai regarde un film avec mon ami dans ma chambre .
i will pay you back the money i owe you next week .	je te rembourserai la semaine prochaine l argent que je te dois .
it is high time you left for school , is not it ?	il est grand temps que tu partes a l ecole pas vrai ?
i do not think i would like you as a friend .	je ne pense pas que je t apprecierais en tant qu ami .
tom told me that mary would be ready to do that .	tom m a dit que marie serait prete a faire ca .
there was an accident on the side of the road .	il y a eu un accident sur le bord de la route .
you know as well as i do that tom is not a very good singer .	tu sais aussi bien que moi que tom n est pas un tres bon chanteur .
she advised him of the date for the next meeting .	elle l a informe de la date de la prochaine reunion .
do not you think it might be a bit too expensive for us to buy ?	ne pensez vous pas que ca pourrait etre un peu trop cher pour que nous l achetions ?
tom is fishing for trout about a hundred meters downstream from here .	tom peche a la truite environ cent metres en aval d ici .
it was the end of winter , and the weather was very cold .	c etait la fin de l hiver et le temps etait tres froid .
spend your time wisely and you will always have enough of it .	emploie ton temps judicieusement et tu en auras toujours assez .
if she had told me the truth , i would not be angry .	si elle m avait dit la verite je ne serais pas en colere .
i will let you know in a day or so .	je vous le ferai savoir d ici un jour ou deux .
every time i see this picture , i remember my father .	chaque fois que je vois cette image je pense a mon pere .
because of your symptoms , you must be temporarily medically isolated .	en raison de vos symptomes vous devez etre place en isolement medical temporaire .
a good sense of humor will help you deal with hard times .	un bon sens de l humour vous aidera a affronter les moments difficiles .
it is impossible to know what will happen in the future .	il est impossible de savoir ce qui se passera dans le futur .
i did not know i was adopted until i was thirteen .	je ne savais pas que j avais ete adopte jusqu a ce que j ai treize ans .
i am not saying this to hurt you , but it is the truth .	je ne le dis pas pour te blesser mais c est la verite .
i do not know whether to turn left or right .	je ne sais pas s il faut tourner a gauche ou a droite .
i took it for granted that you were on our side .	j ai pris comme acquis que vous etiez de notre cote .
do you know why tom did not attend the meeting this afternoon ?	sais tu pourquoi tom n a pas assiste a la reunion cet apres midi ?
i have no more than one hundred yen with me .	je n ai pas plus de cent yens sur moi .
the company gave him a gold watch in acknowledgement of his services .	l entreprise lui donna une montre en or en reconnaissance de ses services .
i will be out of town for a few days .	je serai hors de la ville pour quelques jours .
the rent is really cheap , so i am not complaining .	le loyer n est vraiment pas cher donc je ne me plains pas .
he memorized that poem when he was five years old .	il a memorise ce poeme quand il avait cinq ans .
i will talk to you at a more appropriate time .	je discuterai avec vous a un moment plus approprie .
she drank two glasses of wine at the party .	elle but deux verres de vin a la fete .
if i were in your place , i would not do so .	si j etais a ta place je ne ferais pas cela .
my brother is rich enough to buy a car .	mon frere a assez d argent pour s acheter une voiture .
it was after a meeting in america that he decided to write a book for non scientists .	c etait apres une reunion en amerique qu il decida d ecrire un livre pour les non inities .
i cannot help you if you do not trust me .	je ne peux pas vous aider si vous ne me faites pas confiance .
the distance between stars is measured in light years .	la distance entre les etoiles se mesure en annees lumiere .
